oare_id,src,tgt
004a7dbd-57ce-46f8-9691-409be61c676e,KISIB ma-nu-ba-lum-a-sur DUMU si-la-(d)IM KISIB su-(d)EN.LIL DUMU ma-nu-ki-a-sur KISIB MAN-a-sur DUMU a-ta-a 0.33333 ma-na 2 GIN KU.BABBAR SIG5 i-se-er PUZUR4-a-sur DUMU a-ta-a a-la-hu-um i-su is-tu ha-mus-tim sa i-li-dan ITU.KAM sa ke-na-tim li-mu-um e-na-su-in a-na ITU 14 ha-am-sa-tim i-sa-qal su-ma la is-qu-ul 1.5 GIN.TA a-na 1 ma-na-im i-na ITU.1.KAM si-ib-tam u-sa-ab,"Seal of Mannum-balum-Aššur son of Ṣilli-Adad, seal of Šu-Illil son of Mannum-kī-Aššur, seal of Puzur-Aššur son of Ataya. Puzur-Aššur son of Ataya owes 22 shekels of good silver to Ali-ahum. Reckoned from the week of Ilī-dan, month of Ša-kēnātim, in the eponymy of Enna-Suen, he will pay in 14 weeks. If he has not paid in time, he will add interest at the rate 1.5 shekel per mina per month."
0064939c-59b9-4448-a63d-34612af0a1b5,1 TUG sa qa-tim i-tur4-DINGIR il5-qe,Itūr-ilī has received one textile of ordinary quality.
0073f2c0-524c-4bbf-915a-8c1772a4fb98,TUG u-la i-di-na-ku-um i-tu-ra-ma 9 GIN KU.BABBAR,... he did not give you a textile. He returned and 9 shekels of silver ...
009fb838-8038-42bc-ad34-5f795b3840ee,KISIB su-(d)EN.LIL DUMU su-ku-bi-im KISIB si-lu-lu DUMU u-ku i-nu-mi i-di-a-bu-um a-wa-su iq-bi-u 10 ma-na KU.BABBAR a-na sa-lim-a-sur i-di-in um-ma su-ut-ma i-si-ba-at KU-pi-a li-il5-qe,"Seal of Šu-Illil son of Šu-Kūbum, seal of Ṣilūlu son of Uku. When Iddin-abum spoke his will, he gave 10 minas ofדsilver to Šalim-Aššur. He said: He may take it from the interest on my silver."""""
00aa1c55-c80c-4346-a159-73ad43ab0ff7,um-ma su-ku-tum-ma a-na ISTAR-la-ma-si u ni-ta-ah-su-sar qi-bi4-ma mi-su sa ta-as-pu-ra-ni-ni um-ma a-ti-na-ma E-tum a-na la be-tim i-tu-ar a-pu-tum a-na en-um-a-sur i-xx-ni-ma e si-na ga <unk> sa la ta-ha-di-ri a-na ISTAR-la-ma-si qi-bi4-ma su-ma a-ha-ti a-ta li-ba-am di-ni-si-im la ta-ha-da-ar a-na ni-ta-ah-su-sar qi-bi4-ma TUG-pi-ri-ka-ni sa e-zi-bu na-pi-si-su-nu u tup-pu-u lu sa-su-ru pi-ri-ka-nu sa ma-ti u ti-bu-la ma-a- <unk> is-ta-u-mu-ni a-di en-um-a-sur i-la-ka-ni a ma-ma-an la tu-se-ri <unk> GIN KU.BABBAR (d)UTU-tap-pa-i ub-la-ki-im 1 GIN KU.GI u <unk> GIN KU.BABBAR i-ku-pi-a ub-la-ki-im,"From Šukkutum to Ištar-lamassī and Nitahšušar: Why is that you (fem. plur.) have written me, saying: The house is no longer a house."" Urgent, to Ennam-Aššur ... Do not fear!. To Ištar-lamassī: If you are truly my sister, then encourage her. Do not fear. To Nitahšušar: Air the -textiles that I left. Also, the tablets should be guarded. The which Mati? and Tibula ... have bought do not release (them) to anyone before Ennam-Aššur arrives. Šamaš-tappā'ī brought you x shekels of silver. Ikūn-pīya brought you 1 shekel of gold and x shekels of silver. """
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,um-ma su-ta-mu-zi e-la-a en-um-a-sur u la-ma-si-ma a-na en-um-a-sur u a-la-hi-im qi-bi4-ma a-ma-la na-as-pe-er-ti-ku-nu ra-bi-sa-am ni-hu-za-ku-nu-ti a-bi-a DUMU be-e-be ra-bi4-is-ni i-na sa-am-si sa ra-bi-su-um e-ra-ba-ni ih-da-ma i-zi-za-ma lu DAM.GAR a-bi-ku-nu lu sa a-wa-tam ti-su-a-ni ra-bi-su-um i-na sa-ha-ti-ku-nu li-zi-iz-ma i-na KU.BABBAR pa-ni-ma a-sar ta-ma-ha-ra-ni KU.BABBAR sa E a-lim(ki) su-ta-as-bi-ta-ma ma-la a-bu-ku-nu ha-bu-lu KU.BABBAR ku-un-ka-ma se-bi-la-nim ra-bi4-su-um is-ti-ku-nu li-ik-nu-uk-ma KU.BABBAR se-bi-la-nim-ma li-ma-am lu nu-sa-bi si-ba-at si-ib-tim la i-ma-i-da-ku-nu-ti-ma li-ba-ku-nu e im-ra-as ma-la e-ta-ar E a-bi4-ku-nu ep-sa su-ma ta-da-ga-la-ma tup-pu ha-ru-mu-tum u ba-ba-a-tum ru-qa-tum i-ba-si-u tup-pi ku-un-ka-ma a-na DUMU um-me-a-nim ke-nim sa ki-ma ku-nu-ti pi-iq-da-ma u4-me-e-ku-nu ba-lu-um mi-ma-ma la tu-ri-qa-ma la ta-sa-hu-ra is-ti ra,"From Šu-Tammuzī, Elaya, Ennam-Aššur and Lamassī to Ennam-Aššur and Ali-ahum: In accordance with your missive we have hired a attorney for you; Abiya son of Bebe is our attorney. Take care to stand by the very day the attorney arrives, and have the attorney assist you both with regard to the customers of your father and those with whom you have an argument, and of the first silver, wherever you receive it, collect the silver of the City Hall, as much as your father owes, seal the silver and send it; the attorney should seal it together with you, and then send the silver so we can satisfy the eponym. The compound interest should not grow too big for you and make you unhappy. Act so as to save your father's house. If you observe that there are certified deeds and credits outstanding on long terms, then seal the tablets, entrust them to a trustworthy affiliated trader, like yourselves, and do not extend your terms without special reasons, do not delay but set out and come together with the attorney. Here we seized (witnesses) against Šu-Kūbum and said: Did Šalim-Aššur give you 5 minas of silver out of those in your tablet?"" He refused to confirm to us the silver, what you will declare there. 0.6666 mina of silver: hire for the attorney; he received 0.3333 mina of silver here and will receive 0.3333 mina there. We gave 16.3333 shekels of silver for their disposal; 36.6666 shekels of silver, their expenses, we borrowed in a merchant-house against interest. Seal silver there and send it with the first transport so we can pay back the merchant. Also, send at least 1 or 2 minas of silver; send it so we can store 40 litres of grain before you come. Elaya says: If you are truly my brothers, you must seal the proceeds from the textile in silver and do me a favour. """
0123a9b9-e81e-4d7a-a79b-10e7c0aacbb9,KISIB a-la-hi-im KISIB a-li-li KISIB a-bi4-la KISIB la-qe-ep sa i-na ba-ab-tim sa a-sur-be-el-ma-al-ki-im sa is-ti DUMU a-tu-ri-a u a-mur-a-sur hi-na-a is-bu-tu-ma a-na e-la-ma ip-qi-du 2 ma-na 13.5 GIN KU.BABBAR sa-ru-pa-am e-la-ma a-na a-la-hi-im u a-li-li ip-qi-du KU.BABBAR a-na a-la-hi-im a-li-li u hi-na-a a ba-re-su-nu i-la-ak,"Seal of Ali-ahum, seal of Ali-ilī, seal of Abila, seal of Lā-qēp, that what hinnāya had seized as part of an outstanding claim of Aššur-bēl-malkim from Atūriya's son andfrom Amur-Aššur and had entrusted to Elamma - an amount of 2 minas 13.5 shekels of refined silver, which Elamma in turn had entrusted to Ali-ahum and Ali-ilī - that this silver will become the joint property / responsibility of Ali-ahum, Ali-ilī and hinnāya."
0126cd13-acf7-4cd5-8373-f1e7b54d824e,a-na E sal-ma-a-sur a-na a-wa-tim ne-ru-ub-ma um-ma sal-ma-a-sur-ma i-a-ti a-na bu-ru-us-ha-dim i-na ma-ak-su-e-im a-na hu-bu-ul IR a-bu-sa-lim sa-qa-lim i-ra-de8-u-ni a-ta 30 (TUG)ku-ta-ni u ANSE sa-la-ma-am sa IR ta-la-qe-e um-ma su-be-lum-ma ke-na sa IR-di-a a-bu-sa-lim al-qe sa-lim-a-sur sa ni-is a-lim(ki) uz-na-ti-ni il5-pu-ut um-ma sa-lim-a-sur-ma a-sar IR a-na IR-di-ka la i-tu-ru-u ma-a a-na IR-di-a i-tu-wa-ar um-ma su-be-lum-ma su-ma a-na ku-a-im i-tu-a-ar a-na TUG.HI.A u ANSE.HI.A a-za-za-kum a-na a-wa-tim a-ni-a-tim ka-ru-um ka-ni-is i-di-ni-a-ti-ma IGI GIR sa a-sur si-bu-ti-ni ni-di-in IGI u-ra-a IGI i-li-dan IGI ma-ni-um-ba-lum-a-sur,"We entered Šalim-Aššur's house to settle the case, and Šalim-Aššur said: While they are going to lead me personally to Burušhaddum in fetters to pay the debt of the slave Abu-šalim, will you on the other hand take 30 -textiles and a black donkey from the slave?""Šu-Bēlum answered: ""Yes, I have taken what belongs to my slave Abu-šalim."" Šalim-Aššur impressed on us what had been sworn by the City, and Šalim-Aššur said: ""In case the slave does not raise claim against your slave, then, will he raise claims against my slave?"" Šu-Bēlum answered: ""If he raises claim against yours, then I guarantee for the textiles and the donkey for you."" The Kanesh colony gave us for these proceedings, and we gave our testimony before Aššur's dagger. Witnessed by Uraya, by Ilī-dan, by Mannum-balum-Aššur."""
017c5be4-f459-4ef5-a045-5933e79c01f9,tup-pu-um sa 10 ma-na KU.BABBAR sa PUZUR-a-sur u PUZUR-(d)ISKUR tup-pu-um sa 4 ma-na KU.BABBAR sa PUZUR-a-sur tup-pu-um sa 10 ma-na KU.BABBAR sa a-sa-nim tup-pu-um sa 10 ma-na KU.BABBAR sa al-pi-li tup-pu-um sa 10 ma-na KU.BABBAR sa a-sa-nim u PUZUR-a-sur tup-pu-um sa 5 ma-na KU.BABBAR sa a-sur-su-lu-li tup-pu-um sa 17 ma-na 15 GIN sa e-na-na-tim tup-pu-um sa hu-bu-ul a-bi-ni i-na ku-bu-ur-na-at al-qe-su,"A tablet about 10 minas of silver of Puzur-Assur and Puzur-Adad; a tablet about 4 minas of silver of Puzur-Assur; a tablet about 10 minas of silver of Asanum; a tablet about 10 minas of silver of Alpili; a tablet about 10 minas of silver of Asanum and Puzur-Istar; a tablet about 5 minas of silver of Assur-sululi; a tablet about 17 minas and 15 shekels of silver of Ennanatum; a tablet about a debt of our father, I obtained it in Kuburnat."
01cc1406-fc42-4252-aeae-6b4538b069c5,17 GIN KU.BABBAR si-im e-ma-ri-im 30 ma-na URUDU ISTAR-pi-la-ah a-na ar-be-e-su <unk> u-ka-pu-u sa-pi-u-tim 9 ma-na URUDU SIG5 i si-im su-ub-ri-im 1 ma-na URUDU si-kam is-ti DUMU ISTAR-ba-ni 2 ka-ar-pat ka-mu-nu mi-ma a-nim i-na du-ur-hu-mi-it i-ba-si 10 pi-ri-ka-nu 1 GU SIG.HI.A 2 u-ka-pe-e 80 lu-ur-ma-tum 10 ma-na I.GIS sa-ar-dam sa-ap-ti-nam ni-ib-ra-ra-am 2 si-it-re-e sa za-al-pa 2 e-ma-re u u-nu-su-nu mi-ma a-nim a-na a-sur-i-mi-ti a-di-in,"17 shekels of silver, the price of a donkey, 30 minas of copper of Istar-pilah, 4 sets of thick saddlecloths, 9 minas of refined copper from the price of a slave, 1 mina of sikku-copper with the son of Istar-bani, 2 jars of cumin — all this is available in Durhumit. 10 pirikannu-textiles, 1 talent of wool, 2 saddle-rugs, 80 pomegranates, 10 minas of olive oil, a saptinnu- and a nibraru-textile, 2 scarfs from Zalpa, 2 donkeys with their harness — all this I gave to Assur-imitti."
